DN,objectClass,distinguishedName,instanceType,whenCreated,whenChanged,subRefs,uSNCreated,dSASignature,repsTo,repsFrom,uSNChanged,name,objectGUID,replUpToDateVector,creationTime,forceLogoff,lockoutDuration,lockOutObservationWindow,lockoutThreshold,maxPwdAge,minPwdAge,minPwdLength,modifiedCountAtLastProm,nextRid,pwdProperties,pwdHistoryLength,objectSid,serverState,uASCompat,modifiedCount,auditingPolicy,nTMixedDomain,rIDManagerReference,fSMORoleOwner,systemFlags,wellKnownObjects,objectCategory,isCriticalSystemObject,gPLink,dSCorePropagationData,otherWellKnownObjects,masteredBy,ms-DS-MachineAccountQuota,msDS-Behavior-Version,msDS-PerUserTrustQuota,msDS-AllUsersTrustQuota,msDS-PerUserTrustTombstonesQuota,msDs-masteredBy,msDS-IsDomainFor,msDS-NcType,msDS-ExpirePasswordsOnSmartCardOnlyAccounts,dc,cn,description,showInAdvancedViewOnly,ou,displayName,flags,versionNumber,gPCFunctionalityVersion,gPCFileSysPath,gPCMachineExtensionNames,revision,memberOf,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,pwdLastSet,primaryGroupID,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,lastLogonTimestamp,member,groupType,samDomainUpdates,localPolicyFlags,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,rIDAvailablePool,rIDAllocationPool,rIDPreviousAllocationPool,rIDUsedPool,rIDNextRID,dnsRecord,dNSTombstoned,msDFSR-Flags,msDFSR-ReplicationGroupType,msDFSR-FileFilter,msDFSR-DirectoryFilter,serverReference,msDFSR-ComputerReference,msDFSR-MemberReferenceBL,msDFSR-Version,msDFSR-ReplicationGroupGuid,msDFSR-MemberReference,msDFSR-RootPath,msDFSR-StagingPath,msDFSR-Enabled,msDFSR-Options,msDFSR-ContentSetGuid,msDFSR-ReadOnly,sn,givenName,userPrincipalName,gPCUserExtensionNames
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12429,,,,12431,Enterprise Read-only Domain Controllers,X'e0445c4fcd2b204688f4a282702d6daf',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf3f2010000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Enterprise Read-only Domain Controllers,Members of this group are Read-Only Domain Controllers in the enterprise,,,,,,,,,,,,,,,,,,,,,,,Enterprise Read-only Domain Controllers,268435456,,,-2147483640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Cloneable Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Cloneable Domain Controllers,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12440,,,,12442,Cloneable Domain Controllers,X'229e8c55e3b16146a461d11fddd6f011',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf30a020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Cloneable Domain Controllers,Members of this group that are domain controllers may be cloned.,,,,,,,,,,,,,,,,,,,,,,,Cloneable Domain Controllers,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Protected Users,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Protected Users,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419064334.0Z,,12445,,,,12447,Protected Users,X'614315a284e38f438b94d0d5cd3ffadf',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf30d020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419064334.0Z;16010101000001.0Z,,,,,,,,,,,,,Protected Users,Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.,,,,,,,,,,,,,,,,,,,,,,,Protected Users,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Key Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Key Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12450,,,,12900,Key Admins,X'35e92fc9ada954448c955e8e6ababb99',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf30e020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Key Admins,Members of this group can perform administrative actions on key objects within the domain.,,,,,,,,,,,,,,,,,,,,1,,,Key Admins,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Enterprise Key Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=Enterprise Key Admins,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064334.0Z,20240419065844.0Z,,12453,,,,12899,Enterprise Key Admins,X'2ef6ae41a46e0040b354f144786af35c',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf30f020000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,20240419065844.0Z;20240419064334.0Z;16010101000416.0Z,,,,,,,,,,,,,Enterprise Key Admins,Members of this group can perform administrative actions on key objects within the forest.,,,,,,,,,,,,,,,,,,,,1,,,Enterprise Key Admins,268435456,,,-2147483640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RID Manager$,CN=System,DC=Kredit,DC=Dylan,DC=local",rIDManager,"CN=RID Manager$,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064344.0Z,20240419065516.0Z,,12470,,,,12892,RID Manager$,X'4070b2eafafd1f48b6de6965a9a3dbdd',,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",-1946157056,,"CN=RID-Manager,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",TRUE,,16010101000000.0Z,,,,,,,,,,,,,RID Manager$,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4611686014132423208,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=RID Set,CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",rIDSet,"CN=RID Set,CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",4,20240419064344.0Z,20240419064344.0Z,,12473,,,,12476,RID Set,X'324525b8f4b58c4c947bf86ee3d6e038',,,,,,,,,,,,,,,,,,,,,,,,"CN=RID-Set,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,RID Set,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6867652707404,6867652707404,0,1137,,,,,,,,,,,,,,,,,,,,,,
"CN=DnsAdmins,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=DnsAdmins,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12486,,,,12488,DnsAdmins,X'6aafb517240271469ad70fee96854221',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf34d040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,DnsAdmins,DNS Administrators Group,,,,,,,,,,,,,,,,,,,,,,,DnsAdmins,536870912,,,-2147483644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DnsUpdateProxy,CN=Users,DC=Kredit,DC=Dylan,DC=local",group,"CN=DnsUpdateProxy,CN=Users,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12491,,,,12491,DnsUpdateProxy,X'44cf9bf0a13d0f4b9190887aa0f083dc',,,,,,,,,,,,,,X'010500000000000515000000226971ce8cd3962c4b54daf34e040000',,,,,,,,,,"CN=Group,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,DnsUpdateProxy,DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).,,,,,,,,,,,,,,,,,,,,,,,DnsUpdateProxy,268435456,,,-2147483646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12503,,,,12503,@,X'7d8abab0c00a1041bd398a0894deb7f3',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,@,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'1600020005080000000000000000000000000000000000001403014d0c524f4f542d53455256455253034e455400';X'1600020005080000000000000000000000000000000000001403014c0c524f4f542d53455256455253034e455400';X'1600020005080000000000000000000000000000000000001403014b0c524f4f542d53455256455253034e455400';X'1600020005080000000000000000000000000000000000001403014a0c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301490c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301480c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301470c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301460c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301450c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301440c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301430c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301420c524f4f542d53455256455253034e455400';X'160002000508000000000000000000000000000000000000140301410c524f4f542d53455256455253034e455400',,,,,,,,,,,,,,,,,,,,,
"DC=A.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=A.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12504,,,,12505,A.ROOT-SERVERS.NET,X'3a8a76527f6fc247900688e7c44e8788',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,A.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c00050800000000000000000000000000000000000020010503ba3e00000000000000020030',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=B.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=B.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12506,,,,12507,B.ROOT-SERVERS.NET,X'f08e24b2e7979c4a9abb4cab9e3d9be8',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,B.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c0005080000000000000000000000000000000000002001050000840000000000000000000b',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=C.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=C.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12508,,,,12509,C.ROOT-SERVERS.NET,X'6b846f393468674ca5788178597c154e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,C.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c0005080000000000000000000000000000000000002001050000020000000000000000000c',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=D.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=D.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12510,,,,12511,D.ROOT-SERVERS.NET,X'75e5e83fb102eb4cb9ea6b83961ec9da',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,D.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c00050800000000000000000000000000000000000020010500002d0000000000000000000d',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=E.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=E.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12512,,,,12512,E.ROOT-SERVERS.NET,X'7eaff40d3fbb9d4e8f7582dcfa4ba8e4',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,E.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c0cbe60a',,,,,,,,,,,,,,,,,,,,,
"DC=F.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=F.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12513,,,,12514,F.ROOT-SERVERS.NET,X'a193634be9a9164baa4890e7f11605a2',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,F.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c00050800000000000000000000000000000000000020010500002f0000000000000000000f',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=G.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=G.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12515,,,,12515,G.ROOT-SERVERS.NET,X'2f441aee2cc36f43a6a069dbb378f6a6',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,G.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'040001000508000000000000000000000000000000000000c0702404',,,,,,,,,,,,,,,,,,,,,
"DC=H.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=H.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12516,,,,12517,H.ROOT-SERVERS.NET,X'eea8b5fbb196f94ca3fab53e44988b00',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,H.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c00050800000000000000000000000000000000000020010500000100000000000000000053',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=I.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=I.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12518,,,,12519,I.ROOT-SERVERS.NET,X'c32dfb455be5124f939a029b9e8f5d2d',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,I.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c000508000000000000000000000000000000000000200107fe000000000000000000000053',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=J.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=J.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12520,,,,12521,J.ROOT-SERVERS.NET,X'dffa7dd63c8ed4439a283a5d04dab7ef',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,J.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c000508000000000000000000000000000000000000200105030c2700000000000000020030',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12522,,,,12523,K.ROOT-SERVERS.NET,X'280da44249cc614cb3409988905740a0',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,K.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c000508000000000000000000000000000000000000200107fd000000000000000000000001',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12524,,,,12525,L.ROOT-SERVERS.NET,X'3559ae2876e11a47800fedeefcca493e',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,L.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c00050800000000000000000000000000000000000020010500009f00000000000000000042',FALSE,,,,,,,,,,,,,,,,,,,,
"DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",dnsNode,"DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12526,,,,12527,M.ROOT-SERVERS.NET,X'4f34cbc925e62943a426aa9b87dae6d1',,,,,,,,,,,,,,,,,,,,,,,,"CN=Dns-Node,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,20240419064414.0Z;20240419064414.0Z;16010101000000.0Z,,,,,,,,,,,,M.ROOT-SERVERS.NET,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X'10001c00050800000000000000000000000000000000000020010dc3000000000000000000000035',FALSE,,,,,,,,,,,,,,,,,,,,
"CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-GlobalSettings,"CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12542,,,,12543,DFSR-GlobalSettings,X'51d572ad42ee7a4991c4460852dcf232',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-GlobalSettings,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,DFSR-GlobalSettings,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,
"CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-ReplicationGroup,"CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12544,,,,12544,Domain System Volume,X'43b14906ecf06441a5311707ab9db717',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-ReplicationGroup,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,Domain System Volume,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-Content,"CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12545,,,,12545,Content,X'7a7ae18744900142ad1ba5dd9528dfea',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Content,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,Content,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=SYSVOL Share,CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-ContentSet,"CN=SYSVOL Share,CN=Content,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12546,,,,12546,SYSVOL Share,X'9e2f3ca514b4a24ca5bfc423c8a7c0c4',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-ContentSet,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,SYSVOL Share,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"~*,*.TMP,*.BAK","DO_NOT_REMOVE_NtFrs_PreInstall_Directory,NtFrs_PreExisting___See_EventLog",,,,,,,,,,,,,,,,
"CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-Topology,"CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12547,,,,12547,Topology,X'7513b6f4b5fbb244a76e5fbfa5b771c5',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Topology,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,Topology,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=DC1,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",msDFSR-Member,"CN=DC1,CN=Topology,CN=Domain System Volume,CN=DFSR-GlobalSettings,CN=System,DC=Kredit,DC=Dylan,DC=local",4,20240419064414.0Z,20240419064414.0Z,,12550,,,,12550,DC1,X'56ff4cf0055f264b99e40d3b04b1317d',,,,,,,,,,,,,,,,,,,,,,,,"CN=ms-DFSR-Member,CN=Schema,CN=Configuration,DC=Kredit,DC=Dylan,DC=local",,,16010101000000.0Z,,,,,,,,,,,,,DC1,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CN=NTDS Settings,CN=DC1,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=Kredit,DC=Dylan,DC=local","CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local","CN=Domain System Volume,CN=DFSR-LocalSettings,CN=DC1,OU=Domain Controllers,DC=Kredit,DC=Dylan,DC=local",,,,,,,,,,,,,
